Silo,Max Epochs,Test MAE
CamCAN,200,6.778709793090821
SALD,200,4.863793730735779
eNKI,200,4.578701768602643
Silo,Max Epochs,Val MAE,Test MAE
CamCAN,200,7.30808744430542,7.077145290374756
SALD,200,5.546026110649109,5.787333607673645
eNKI,200,4.877201586961746,4.774166584014893
Silo,Max Epochs,Val MAE,Test MAE
CamCAN,200,7.30808744430542,7.077145290374756
SALD,200,5.546026110649109,5.787333607673645
eNKI,200,4.877201586961746,4.774166584014893
