Silo,Max Epochs,Test MAE
CamCAN,200,5.632409000396729
SALD,200,5.079725861549377
eNKI,200,4.796007088252476
CamCAN,200,6.592884731292725,6.124560928344726
SALD,200,6.9159934520721436,6.007773041725159
eNKI,200,5.637812495231628,4.955741575786045
CamCAN,200,6.592884731292725,6.124560928344726
SALD,200,6.9159934520721436,6.007773041725159
eNKI,200,5.637812495231628,4.955741575786045
