Silo,Max Epochs,Test MAE Error
kl =0.3 mmd =0.5
CamCAN,200,5.945717525482178
SALD,200,5.721026420593262
eNKI,200,4.721664735249111
kl =0.3 mmd =0.3
Silo,Max Epochs,Test MAE Error
CamCAN,200,6.440462207794189
SALD,200,4.256638169288635
eNKI,200,4.448143856866019
Silo,Max Epochs,Test MAE Error
CamCAN,200,6.612980937957763
SALD,200,5.260511577129364
eNKI,200,4.461421421595982

Silo,Max Epochs,Val MAE,Test MAE
CamCAN,200,6.600477313995361,6.4466071128845215
SALD,200,5.554136633872986,4.975616812705994
eNKI,200,5.207872927188873,4.661219324384417
