Silo,Max Epochs,Test MAE
kl= 0.3 mmd =0.5
CamCAN,200,4.974071502685547
SALD,200,6.763810396194458
eNKI,200,4.878264972141811
kl= 0.3 mmd =0.3
CamCAN,200,5.120133590698242
SALD,200,7.299584865570068
eNKI,200,4.745837960924421
CamCAN,200,5.112646293640137
SALD,200,5.961760878562927
eNKI,200,4.727479798453195

CamCAN,200,6.062054538726807,5.492175769805908
SALD,200,11.1667640209198,10.65187382698059
eNKI,200,5.23588353395462,4.57750449861799
